XLY_return_Date,XLY_return_Adj Close,XLP_return_Date,XLP_return_Adj Close,XLE_return_Date,XLE_return_Adj Close,XLF_return_Date,XLF_return_Adj Close,XLV_return_Date,XLV_return_Adj Close,XLI_return_Date,XLI_return_Adj Close,XLB_return_Date,XLB_return_Adj Close,XLK_return_Date,XLK_return_Adj Close,XTL_return_Date,XTL_return_Adj Close,XLU_return_Date,XLU_return_Adj Close,IEI_return_Date,IEI_return_Adj Close,LQD_return_Date,LQD_return_Adj Close,SPHY_return_Date,SPHY_return_Adj Close,GLD_return_Date,GLD_return_Adj Close,BIL_return_Date,BIL_return_Adj Close,GSG_return_Date,GSG_return_Adj Close,UUP_return_Date,UUP_return_Adj Close,VWO_return_Date,VWO_return_Adj Close,EEM_return_Date,EEM_return_Adj Close,VNQ_return_Date,VNQ_return_Adj Close,SPY_return_Date,SPY_return_Adj Close
2010-01-04,,2010-01-04,,2010-01-04,,2010-01-04,,2010-02-01,,2010-02-01,,2010-02-01,,2010-02-01,,2011-01-27,,2010-02-01,,2010-02-01,,2010-02-01,,2012-06-19,,2010-02-01,,2010-02-01,,2010-02-01,,2010-02-01,,2010-02-01,,2010-02-01,,2010-02-01,,2010-02-01,
2010-01-05,0.0036666799766089664,2010-01-05,0.00037478466857199244,2010-01-05,0.008161706487334053,2010-01-05,0.01837993781919023,2010-02-02,0.020661106347899638,2010-02-02,0.01907160690630927,2010-02-02,0.003191000280919898,2010-02-02,0.0099053831146807,2011-01-28,0.0,2010-02-02,0.008075076854280105,2010-02-02,0.00044772312052043794,2010-02-02,0.0031573650051310853,2012-06-20,0.006299870169766075,2010-02-02,0.007198881313165595,2010-02-02,-0.00021813225931910374,2010-02-02,0.026209700290543703,2010-02-02,-0.003426122608556903,2010-02-02,0.004829381387212672,2010-02-02,0.008140680564290959,2010-02-02,0.013708401197667364,2010-02-02,0.012103065176479522
2010-01-06,0.0013283868865034965,2010-01-06,-0.0007496656106739108,2010-01-06,0.011975199719815643,2010-01-06,0.0020052754838035813,2010-02-03,-0.013391512312423193,2010-02-03,-0.006002855754141612,2010-02-03,-0.011450587990700978,2010-02-03,0.0023352925833910465,2011-01-31,-0.014995135582073993,2010-02-03,-0.00700942884818756,2010-02-03,-0.0021491259564467846,2010-02-03,-0.0010485437508683804,2012-06-21,-0.00391280846345976,2010-02-03,-0.003940257637661704,2010-02-03,0.0004360107545831049,2010-02-03,-0.0036018535381128203,2010-02-03,0.005586462701215655,2010-02-03,-0.0027826450528339874,2010-02-03,-0.005803840785013503,2010-02-03,-0.01627332258551628,2010-02-03,-0.004982192806811114
2010-01-07,0.008291917930230541,2010-01-07,0.0,2010-01-07,-0.001499989971617599,2010-01-07,0.021347734240843907,2010-02-04,-0.025252526708343104,2010-02-04,-0.02948490239823065,2010-02-04,-0.03732300635502794,2010-02-04,-0.027958640926851963,2011-02-01,0.0144325537690988,2010-02-04,-0.02621854721488237,2010-02-04,0.005742841567846879,2010-02-04,-9.624912913042127e-05,2012-06-22,0.0015711232605004621,2010-02-04,-0.03983435439949368,2010-02-04,0.0,2010-02-04,-0.04107788325547235,2010-02-04,0.006410296311337493,2010-02-04,-0.04566221000378645,2010-02-04,-0.04517771451149866,2010-02-04,-0.03704555017402089,2010-02-04,-0.030866307391126835
2010-01-08,-0.0003289287041207123,2010-01-08,-0.003375648760444383,2010-01-08,0.006509863520232528,2010-01-08,-0.005878716899594072,2010-02-05,-0.0016190648059890567,2010-02-05,-0.0043924904173995305,2010-02-05,0.018716713345424907,2010-02-05,0.01006683207485315,2011-02-02,0.00409300138209634,2010-02-05,-0.0017258893648243179,2010-02-05,0.002320175147341841,2010-02-05,-0.0030550933330907304,2012-06-25,0.0,2010-02-05,0.002970178695371306,2010-02-05,0.0,2010-02-05,-0.0195339166848163,2010-02-05,0.004246366484010888,2010-02-05,-0.00186079164720665,2010-02-05,-0.01116408919626477,2010-02-05,0.018388507619759853,2010-02-05,0.002067050529447778
2010-01-11,-0.00197451304391727,2010-01-11,0.002634691902354991,2010-01-11,-0.0013268417955165646,2010-01-11,0.0006570467224680243,2010-02-08,-0.004865367482826177,2010-02-08,-0.011029760375422804,2010-02-08,-0.016076141518424958,2010-02-08,-0.00427167881549928,2011-02-03,0.0,2010-02-08,-0.011410678256676632,2010-02-08,-0.0010682497736641539,2010-02-08,0.0009576821418382231,2012-06-26,0.003137634501570563,2010-02-08,-0.006113864996012963,2010-02-08,0.0,2010-02-08,0.007340058720469722,2010-02-08,-0.000422957627335907,2010-02-08,-0.018641815308312104,2010-02-08,-0.00994621417516206,2010-02-08,-0.021858169161723673,2010-02-08,-0.0072192699230978485
2010-01-12,-0.012858339399391294,2010-01-12,0.005630366097480577,2010-01-12,-0.014447129885730159,2010-01-12,-0.01444505621274117,2010-02-09,0.007822543853311048,2010-02-09,0.019331437805895524,2010-02-09,0.02434148557928051,2010-02-09,0.008579793585953732,2011-02-04,0.03843152351821799,2010-02-09,0.01014336067454269,2010-02-09,-0.0021388633534534796,2010-02-09,-0.0022963016748702714,2012-06-27,0.0027362766280945028,2010-02-09,0.01316803858637372,2010-02-09,0.0,2010-02-09,0.0197779216120737,2010-02-09,-0.006345133920817703,2010-02-09,0.03066512978228131,2010-02-09,0.03258172375782831,2010-02-09,-0.003157536063369659,2010-02-09,0.01256028418577948
2010-01-13,0.011355992069619791,2010-01-13,0.007092299126947088,2010-01-13,0.003706790067000254,2010-01-13,0.011325456518803234,2010-02-10,-0.0061444871501806775,2010-02-10,-0.0014589380745041458,2010-02-10,-0.006835781295572052,2010-02-10,-0.0028352468850670887,2011-02-07,0.010280492026149224,2010-02-10,-0.0045015071766268955,2010-02-10,-0.0027682538072996143,2010-02-10,-0.0077675765989723145,2012-06-28,-0.0011698502081046724,2010-02-10,-0.002751170718643947,2010-02-10,0.0,2010-02-10,0.002381752170055318,2010-02-10,0.0029799484653176833,2010-02-10,-0.003159486813819501,2010-02-10,-0.0026293010030536967,2010-02-10,0.0019492700768426463,2010-02-10,-0.0019587355970952514
2010-01-14,0.0,2010-01-14,-0.002965412102226339,2010-01-14,0.0028539196973929037,2010-01-14,0.004611447356833942,2010-02-11,0.006833559325761129,2010-02-11,0.014974501822035746,2010-02-11,0.01704378374135973,2010-02-11,0.010426355105369156,2011-02-08,-0.0018502547101280076,2010-02-11,0.005913100754135758,2010-02-11,0.000268903135768106,2010-02-11,0.0023197115950885916,2012-06-29,0.004293212224119269,2010-02-11,0.019120951810489784,2010-02-11,0.0,2010-02-11,0.013577784735564924,2010-02-11,-0.0004244063032021739,2010-02-11,0.024563598580727986,2010-02-11,0.02636418337485713,2010-02-11,0.009484544247959192,2010-02-11,0.010466683355806472
2010-01-15,-0.009907479394853036,2010-01-15,-0.00483250742272312,2010-01-15,-0.008034906992747781,2010-01-15,-0.02032766126220542,2010-02-12,-0.0022626634629545617,2010-02-12,-0.007916477693767576,2010-02-12,-0.00193402022452005,2010-02-12,0.0018763320449468601,2011-02-09,0.0005559525048752789,2010-02-12,-0.003803463519557404,2010-02-12,0.0018798304674059185,2010-02-12,0.001157385151370205,2012-07-02,-0.0010893249610659517,2010-02-12,-0.0008400666498453724,2010-02-12,0.0,2010-02-12,-0.012056282752611946,2010-02-12,0.003396942743173037,2010-02-12,-0.011084758490582658,2010-02-12,-0.012586668386013411,2010-02-12,0.011804587263176902,2010-02-12,-0.0008325170551573002
2010-01-19,0.01334213507987636,2010-01-19,0.005976973609106873,2010-01-19,0.009112412751311583,2010-01-19,0.0127175483660118,2010-02-16,0.008746595442209681,2010-02-16,0.023576536816190208,2010-02-16,0.0251856424532233,2010-02-16,0.014981170943286548,2011-02-10,0.006298848456591566,2010-02-16,0.017355029004788136,2010-02-16,0.0008939194216894819,2010-02-16,0.003948529545146462,2012-07-03,0.0007790576223694057,2010-02-16,0.02410315591356116,2010-02-16,0.0,2010-02-16,0.030847452454647817,2010-02-16,-0.008463731416945564,2010-02-16,0.025547558786962465,2010-02-16,0.025754557671402667,2010-02-16,0.028333034231964094,2010-02-16,0.015734443494362926
2010-01-20,-0.013495684450860246,2010-01-20,-0.007426500166763272,2010-01-20,-0.015551622889736438,2010-01-20,-0.002644122280487604,2010-02-17,0.007706988260744785,2010-02-17,0.008504304860925016,2010-02-17,0.0006300794778901775,2010-02-17,0.0027674504862396088,2011-02-11,0.015463832275248945,2010-02-17,-0.004094065766780286,2010-02-17,-0.0033927036675539535,2010-02-17,-0.0033576749087057545,2012-07-05,0.0,2010-02-17,-0.0033753214496573536,2010-02-17,-0.0006536438990590865,2010-02-17,0.0019730176337862115,2010-02-17,0.009389751819951275,2010-02-17,0.0038126695162203905,2010-02-17,0.0035508947272426816,2010-02-17,0.009029971124166147,2010-02-17,0.004739209790620036
2010-01-21,-0.012679439270288917,2010-01-21,-0.014216433011686291,2010-01-21,-0.020384076973709586,2010-01-21,-0.02849544475828336,2010-02-18,0.004780164452789615,2010-02-18,0.009135817856684936,2010-02-18,0.010701814823181,2010-02-18,0.006439355728168339,2011-02-14,0.0005436783388086397,2010-02-18,0.005481258068917416,2010-02-18,-0.0020605276521078464,2010-02-18,-0.0006740959771475152,2012-07-06,0.0,2010-02-18,0.006681952923877299,2010-02-18,0.0004361930460061725,2010-02-18,0.014440451065739657,2010-02-18,0.0,2010-02-18,0.002025637723868101,2010-02-18,0.0037903980779192548,2010-02-18,0.014914806929125835,2010-02-18,0.0058950069049237275
2010-01-22,-0.01926299655309971,2010-01-22,-0.0022769713093405697,2010-01-22,-0.02375582325437342,2010-01-22,-0.03274235276213666,2010-02-19,0.0,2010-02-19,0.004874411027462111,2010-02-19,0.005606018271383961,2010-02-19,-0.0027417426503085762,2011-02-15,-0.009784037926397371,2010-02-19,0.013969285186332447,2010-02-19,-0.0011673277861041775,2010-02-19,0.003564628487019439,2012-07-09,0.0035030826309825347,2010-02-19,-0.004637226047132237,2010-02-19,-0.0004360028645885583,2010-02-19,0.006146895341169856,2010-02-19,0.002959787898651367,2010-02-19,-0.006570655426961225,2010-02-19,-0.008559769456323751,2010-02-19,0.0006783453558947272,2010-02-19,0.0020736620328936084
2010-01-25,0.005168402260369076,2010-01-25,0.001902061576050551,2010-01-25,0.006571912566357696,2010-01-25,0.005642213956240427,2010-02-22,-0.0028545987241518356,2010-02-22,0.0006932347907233627,2010-02-22,-0.004335904391266743,2010-02-22,-0.0018333361941512694,2011-02-16,0.006952869515925331,2010-02-22,-0.005376088558217029,2010-02-22,0.000270348228609274,2010-02-22,0.0005752819120625752,2012-07-10,0.0034915848190510967,2010-02-22,-0.0036539830220012615,2010-02-22,0.0004361930460061725,2010-02-22,0.0003215507639606763,2010-02-22,-0.001686339941138204,2010-02-22,0.0005091220000912333,2010-02-22,0.001269582124083124,2010-02-22,0.002485601815295224,2010-02-22,0.00018005896319595038
2010-01-26,0.0013714221344662825,2010-01-26,-0.0011391085599391504,2010-01-26,-0.006352615763028258,2010-01-26,-0.017531478878093587,2010-02-23,-0.009541722133985187,2010-02-23,-0.01281155502191178,2010-02-23,-0.015863097625646083,2010-02-23,-0.012396868011358753,2011-02-17,0.0005454360621723886,2010-02-23,-0.006756902365735673,2010-02-23,0.004761736625105817,2010-02-23,0.0023976844665947183,2012-07-11,0.0,2010-02-23,-0.010818743086801086,2010-02-23,-0.0004360028645885583,2010-02-23,-0.019286414969406418,2010-02-23,0.005489821022658159,2010-02-23,-0.022375050357538506,2010-02-23,-0.023078848769578664,2010-02-23,-0.007662921403492229,2010-02-23,-0.012144751125735098
2010-01-27,0.0017117972332134634,2010-01-27,0.0022804328176213584,2010-01-27,-0.003906816959077686,2010-01-27,0.024268262104305327,2010-02-24,0.00738602564856361,2010-02-24,0.01017174989788594,2010-02-24,-0.002528700818685725,2010-02-24,0.009763156114310556,2011-02-18,-0.002724432453914849,2010-02-24,0.00102050105299889,2010-02-24,-0.00026780439110352106,2010-02-24,0.004306802249689712,2012-07-12,0.0011593957989124437,2010-02-24,-0.004912399502225995,2010-02-24,0.0004361930460061725,2010-02-24,0.011471661056836169,2010-02-24,-0.0020999158859769107,2010-02-24,0.012483660841928312,2010-02-24,0.009605379676439041,2010-02-24,0.010220224789337262,2010-02-24,0.009197604540989168
2010-01-28,-0.005809725859307502,2010-01-28,-0.002654483449252787,2010-01-28,-0.010518657371852091,2010-01-28,-0.004878233717477198,2010-02-25,0.0006371459355292153,2010-02-25,-0.002430803635687928,2010-02-25,-0.0022178711717760757,2010-02-25,-0.0027623540342294195,2011-02-22,-0.03259842326757223,2010-02-25,-0.002038732909685703,2010-02-25,0.0032192743857732964,2010-02-25,-0.0010481724386705027,2012-07-13,-0.0011580531569472807,2010-02-25,0.008848704758209536,2010-02-25,0.0,2010-02-25,-0.01652625465959201,2010-02-25,-0.00210441765338254,2010-02-25,-0.007962760028347504,2010-02-25,-0.008228536495188954,2010-02-25,0.0038223083297781457,2010-02-25,-0.001353538323243142
2010-01-29,-0.006187949999512887,2010-01-29,-0.0038022940960389384,2010-01-29,-0.018018376283944093,2010-01-29,-0.0070030404712105865,2010-02-26,0.00031877012768255497,2010-02-26,0.0038288962255410564,2010-02-26,0.00031748863823022333,2010-02-26,0.0013850028854227592,2011-02-23,-0.011671877588916524,2010-02-26,-0.007831265742065163,2010-02-26,0.0008916896799693319,2010-02-26,0.006581174244397747,2012-07-16,0.0007729305326082958,2010-02-26,0.010340714355349556,2010-02-26,0.0,2010-02-26,0.020428300629060647,2010-02-26,-0.0029523811895695307,2010-02-26,0.008803681066149593,2010-02-26,0.010111598425787571,2010-02-26,-0.00044806169972699816,2010-02-26,0.0006323323042618512
2010-02-01,0.012798380208594917,2010-02-01,0.007633421433427046,2010-02-01,0.033027684307415095,2010-02-01,0.01692554567968041,2010-03-01,0.009554385335052373,2010-03-01,0.013176183720423618,2010-03-01,0.015238270326653813,2010-03-01,0.012909022897085176,2011-02-24,0.007809327677630318,2010-03-01,0.014412967749752204,2010-03-01,0.0005712508394124516,2010-03-01,0.0012848260240787557,2012-07-17,0.0003861667862044005,2010-03-01,0.0,2010-03-01,-0.0004360028645885583,2010-03-01,-0.01226991182407755,2010-03-01,0.003384176889414725,2010-03-01,0.016683733723413363,2010-03-01,0.016940559975247904,2010-03-01,0.008514226136828729,2010-03-01,0.010385076908141055
2010-02-02,0.014002845519048623,2010-02-02,0.014393856751214074,2010-02-02,0.013143825132715392,2010-02-02,0.009708790191468308,2010-03-02,0.0034698749020112274,2010-03-02,0.0017114121145020977,2010-03-02,0.008442572481216049,2010-03-02,-0.0013654605440850398,2011-02-25,0.01890030615315008,2010-03-02,0.0030450267081352234,2010-03-02,0.0008918082296398566,2010-03-02,0.0020910611356739217,2012-07-18,0.003474783085896771,2010-03-02,0.01452980291927708,2010-03-02,0.00021796563891252063,2010-03-02,0.008826428781198548,2010-03-02,-0.002951053406490489,2010-03-02,0.011360857867022789,2010-03-02,0.011357914782895051,2010-03-02,0.0004442870702143775,2010-03-02,0.002770237418285193
2010-02-03,0.0006735146246865664,2010-02-03,-0.0070948537045674165,2010-02-03,-0.008590485906906031,2010-02-03,-0.010989222158551248,2010-03-03,-0.004086927115389938,2010-03-03,0.0013664042870009663,2010-03-03,0.008682270563590277,2010-03-03,0.00045598153367332195,2011-02-28,-0.004452127055364352,2010-03-03,-0.001686306885029798,2010-03-03,0.0,2010-03-03,0.0020865930900726415,2012-07-19,0.0007693620716513472,2010-03-03,0.005494511158316229,2010-03-03,-0.00021791814024574307,2010-03-03,0.016202203179227492,2010-03-03,-0.005919659023911672,2010-03-03,0.0024962203199947464,2010-03-03,0.0012477788199720674,2010-03-03,-0.0026649842827239922,2010-03-03,0.0008912883063292298
2010-02-04,-0.02894625697497133,2010-02-04,-0.020308251890392537,2010-02-04,-0.04102551192693382,2010-02-04,-0.04305524124757032,2010-03-04,-0.0031564307204496878,2010-03-04,0.004776532101722353,2010-03-04,0.006763286305625504,2010-03-04,0.00409990757065426,2011-03-01,-0.01117916289300036,2010-03-04,0.0020271175578270295,2010-03-04,0.0002675723674363528,2010-03-04,0.00047289652410098526,2012-07-20,0.0026916285972731213,2010-03-04,-0.007166491463286184,2010-03-04,0.0,2010-03-04,-0.009885247680406217,2010-03-04,0.0055294337590245934,2010-03-04,-0.006474369817730086,2010-03-04,-0.005234327449787024,2010-03-04,0.006234827485231298,2010-03-04,0.003027631624853422
2010-02-05,-0.0027731126877503787,2010-02-05,-0.0026868984156780407,2010-02-05,0.0001842306669934679,2010-02-05,0.011610721439561544,2010-03-05,0.013933037705842866,2010-03-05,0.015279855691273658,2010-03-05,0.012824131012852957,2010-03-05,0.012250422228905933,2011-03-02,-0.000753997700715936,2010-03-05,0.010114335272817465,2010-03-05,-0.0033856875480313686,2010-03-05,-0.0012294298795503256,2012-07-23,0.0026845063993914398,2010-03-05,-0.0001804951017815304,2010-03-05,0.0,2010-03-05,0.009339804272239904,2010-03-05,-0.000423053334361323,2010-03-05,0.029073197742133683,2010-03-05,0.02605848652432763,2010-03-05,0.027218595095118037,2010-03-05,0.014293446024616685
2010-02-08,-0.006256777547145598,2010-02-08,-0.0011547962333583461,2010-02-08,-0.009218428056967154,2010-02-08,-0.020085931891383857,2010-03-08,-0.005934042147249241,2010-03-08,-0.0046819656251996244,2010-03-08,0.0,2010-03-08,0.005379009947851232,2011-03-03,0.025268898252498895,2010-03-08,0.0,2010-03-08,-0.0011618943302263984,2010-03-08,0.0016094217105993014,2012-07-24,-0.003441870376289513,2010-03-08,-0.008392747276111279,2010-03-08,0.0,2010-03-08,-0.0022335575776453176,2010-03-08,-0.00042306579010387146,2010-03-08,-0.00024401283723374245,2010-03-08,0.0007327854812972934,2010-03-08,0.010124689382089436,2010-03-08,0.00017523962542043137
2010-02-09,0.015390288115511908,2010-02-09,0.01194581807195716,2010-02-09,0.021027139031254638,2010-02-09,0.010248689235947905,2010-03-09,-0.0006282250866149752,2010-03-09,0.008064547404641687,2010-03-09,-0.006330949766757188,2010-03-09,0.004458391713801024,2011-03-04,-0.0003678251055481141,2010-03-09,-0.0013351425287561058,2010-03-09,0.0012534273714239763,2010-03-09,-0.0009451974320258127,2012-07-25,0.0011513558852818129,2010-03-09,-0.0014560978951050352,2010-03-09,0.0,2010-03-09,-0.008954291095188971,2010-03-09,0.001693479396000619,2010-03-09,0.004141149230577845,2010-03-09,0.005612302423842586,2010-03-09,0.002346248655766381,2010-03-09,0.0016623520649388102
2010-02-10,-0.004133801317748764,2010-02-10,-0.0011424834302548037,2010-02-10,-0.00419180286253984,2010-02-10,0.007971281442394673,2010-03-10,0.0006286200014697929,2010-03-10,0.0019999684376668103,2010-03-10,0.000303328776977807,2010-03-10,0.006657603593183126,2011-03-07,-0.017111358742674,2010-03-10,0.00033425505291950763,2010-03-10,-0.0015201644788365165,2010-03-10,0.0009460916754480131,2012-07-26,0.0015330317896191659,2010-03-10,-0.011392635673468599,2010-03-10,0.00021796563891252063,2010-03-10,0.009357886985130515,2010-03-10,-0.0016906163720081802,2010-03-10,0.0019409829937409029,2010-03-10,0.007037532862255835,2010-03-10,0.008935964966913179,2010-03-10,0.004455826862481027
2010-02-11,0.011760735805379952,2010-02-11,0.008006147776388639,2010-02-11,0.017021109095603615,2010-02-11,0.002156512579908787,2010-03-11,0.007854355635359855,2010-03-11,0.00365940787204444,2010-03-11,0.005763025859751858,2010-03-11,0.003968442273744044,2011-03-08,0.0063644719817483875,2010-03-11,0.00334134097495542,2010-03-11,-0.0011635584803271204,2010-03-11,-0.0003778703199556199,2012-07-27,0.00650566965468613,2010-03-11,0.0011984627266063974,2010-03-11,-0.00021791814024574307,2010-03-11,-0.002237902833638339,2010-03-11,-0.0021168909111606293,2010-03-11,0.0038740860878181405,2010-03-11,0.00024057147277645186,2010-03-11,0.005904809144041234,2010-03-11,0.004175010300967674
2010-02-12,0.0,2010-02-12,0.0,2010-02-12,0.0003596684415407836,2010-02-12,0.0007175749116394847,2010-03-12,-0.0074813741338932704,2010-03-12,0.006629153096649576,2010-03-12,0.003920502216355537,2010-03-12,-0.0008783241606722392,2011-03-09,-0.02938984205954931,2010-03-12,-0.006327119532863135,2010-03-12,8.959655441342917e-05,2010-03-12,0.0020811596967837964,2012-07-30,0.002661436186790933,2010-03-12,-0.0059852811695370045,2010-03-12,0.0,2010-03-12,-0.007369418423044949,2010-03-12,-0.0063639779158517484,2010-03-12,-0.0026528719950299484,2010-03-12,-0.003372512668578964,2010-03-12,0.007966125828568815,2010-03-12,8.670908808672273e-05
2010-02-16,0.016068145086506114,2010-02-16,0.010211684232976914,2010-02-16,0.02356542690918695,2010-02-16,0.020788196163858075,2010-03-15,0.0065952593118612235,2010-03-15,0.0,2010-03-15,-0.0003008258526483454,2010-03-15,-0.00087929464423675,2011-03-10,-0.01398975853194373,2010-03-15,0.0036864766144715233,2010-03-15,0.0005374518134337869,2010-03-15,-0.00018892649134760742,2012-07-31,-0.004550161980784839,2010-03-15,0.003798088686431056,2010-03-15,0.0,2010-03-15,-0.010974827553639988,2010-03-15,0.00555076691787959,2010-03-15,-0.006771750215194494,2010-03-15,-0.00725164117465138,2010-03-15,-0.002287581894215407,2010-03-15,0.00025986116708098805
2010-02-17,0.008075360494925299,2010-02-17,0.007113353647873799,2010-02-17,-0.0014060359739294093,2010-02-17,0.0035112603494502626,2010-03-16,0.0028082846569927877,2010-03-16,0.013499911740444404,2010-03-16,0.014723799388314252,2010-03-16,0.007478993898880182,2011-03-11,0.004081356868955499,2010-03-16,0.011685908745716844,2010-03-16,0.002507924405057871,2010-03-16,0.0046269694672933515,2012-08-01,0.0045872660398948994,2010-03-16,0.01882614344810607,2010-03-16,0.0,2010-03-16,0.015013087499495814,2010-03-16,-0.007218639146775008,2010-03-16,0.011687405529794193,2010-03-16,0.012904729891660027,2010-03-16,0.024181754600999028,2010-03-16,0.007966193873593319
2010-02-18,0.00634194784143105,2010-02-18,0.0059482768454608426,2010-02-18,0.005631702280430195,2010-02-18,0.006298333328961014,2010-03-17,0.00031126041003415317,2010-03-17,0.0016244443521058471,2010-03-17,0.005626004130264928,2010-03-17,0.0030568809823399157,2011-03-14,-0.005807230201125502,2010-03-17,0.003300447543908902,2010-03-17,-8.907907191635367e-05,2010-03-17,0.003664784987321923,2012-08-02,-0.0034253518297228114,2010-03-17,-0.0073370034129791595,2010-03-17,0.0,2010-03-17,0.010289379128589404,2010-03-17,0.0004276737226656113,2010-03-17,0.010108138479697715,2010-03-17,0.010817661740364581,2010-03-17,0.014858590073148603,2010-03-17,0.005927225080681886
2010-02-19,0.002321739958074387,2010-02-19,0.0022173210745981553,2010-02-19,0.003850426299117915,2010-02-19,0.005563103432292049,2010-03-18,0.006842828887169139,2010-03-18,0.00681147897243517,2010-03-18,-0.007067078450598507,2010-03-18,0.0013060150657324687,2011-03-15,-0.009734970179497648,2010-03-18,-0.004605317115951135,2010-03-18,-0.00223405846940139,2010-03-18,-0.0019661005462434655,2012-08-03,-0.004199633311853246,2010-03-18,0.006843690346403308,2010-03-18,0.0,2010-03-18,-0.0031826983203979697,2010-03-18,0.006840527550694198,2010-03-18,-0.0064330543069220925,2010-03-18,-0.007610003501010709,2010-03-18,-0.005415338487118504,2010-03-18,-0.0005123634804664601
