,Unnamed: 0.1,Date,Stock Name,BIL_return_Adj Close,EEM_return_Adj Close,GLD_return_Adj Close,GSG_return_Adj Close,IEI_return_Adj Close,LQD_return_Adj Close,SPHY_return_Adj Close,UUP_return_Adj Close,VNQ_return_Adj Close,VWO_return_Adj Close,XLB_return_Adj Close,XLE_return_Adj Close,XLF_return_Adj Close,XLI_return_Adj Close,XLK_return_Adj Close,XLP_return_Adj Close,XLU_return_Adj Close,XLV_return_Adj Close,XLY_return_Adj Close,XTL_return_Adj Close,Day 1,Day 2,Day 3,Day 4,Day 5,Is Beginning of a Month,Is Beginning of a Year,Day 2- Day 1,Day 3- Day 2,Day 4- Day 3,Day 5- Day 4,SPY_return_Adj Close,Positive Trends,Negative Trends,Is Positive Trend
0,0,2010-02-02 - 2010-02-06,XLY_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.27619192,0.15528144,-0.113399773,0.124017053,0.108216876,1,1,-0.12091048,-0.268681214,0.237416826,-0.015800178,0.122752925,1,3,FALSE
1,1,2010-02-02 - 2010-02-06,XLP_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.210191915,-0.029821134,-0.177405048,0.019412476,0.027968702,1,1,-0.24001305,-0.147583914,0.196817524,0.008556226,0.122752925,2,2,FALSE
2,2,2010-02-02 - 2010-02-06,XLE_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.186094117,0.065943766,-0.113361654,0.114451643,0.088462028,1,1,-0.120150351,-0.17930542,0.227813297,-0.025989615,0.122752925,1,3,FALSE
3,3,2010-02-02 - 2010-02-06,XLF_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.342829897,-0.435486036,-0.579031874,-0.334315765,-0.405261938,1,1,-0.092656139,-0.143545838,0.244716109,-0.070946173,0.122752925,1,3,FALSE
4,4,2010-02-02 - 2010-02-06,XLV_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.357923046,-0.029771283,-0.164810766,0.104259852,0.085780024,1,1,-0.387694329,-0.135039483,0.269070618,-0.018479829,0.122752925,1,3,FALSE
5,5,2010-02-02 - 2010-02-06,XLI_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.104488664,-0.104505656,-0.300227272,-0.091083346,-0.118743993,1,1,-0.208994319,-0.195721616,0.209143926,-0.027660647,0.122752925,1,3,FALSE
6,6,2010-02-02 - 2010-02-06,XLB_return_Adj Close,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.004986065,-0.133598765,-0.360863833,0.131392846,-0.021418547,1,1,-0.128612699,-0.227265069,0.492256679,-0.152811392,0.122752925,1,3,FALSE
7,7,2010-02-02 - 2010-02-06,XLK_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.159053046,0.09978652,-0.137385832,0.160317036,0.104188663,1,1,-0.059266525,-0.237172352,0.297702868,-0.056128372,0.122752925,1,3,FALSE
8,8,2010-02-02 - 2010-02-06,XTL_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.034136438,0.034136438,0.034136438,0.034136438,0.034136438,1,1,0,0,0,0,0.122752925,4,0,TRUE
9,9,2010-02-02 - 2010-02-06,XLU_return_Adj Close,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.007424515,-0.117492988,-0.276567149,-0.073739047,-0.113839786,1,1,-0.124917503,-0.159074162,0.202828102,-0.040100739,0.122752925,1,3,FALSE
